dataset,roc_auc,pr_auc,f1,recall,precision,accuracy,mcc,brier,tpr@1%fpr
CIRCLE_seq,0.9810377581132863,0.6634718562803065,0.6230922362309224,0.6370420624151968,0.6097402597402597,0.9902897683562698,0.6183283124054285,0.006713938311685046,0.7306648575305291
Doench,0.894071045233836,0.8574813340102878,0.8117073170731708,0.9142857142857143,0.7298245614035088,0.8012358393408857,0.6241458393115568,0.13091851014134906,0.12087912087912088
GUIDE-Seq_Kleinstiver,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.753806148010663e-05,1.0
GUIDE-Seq_Listgarten,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.851145681741573e-07,1.0
Hek293t,0.9855661034469186,0.6054863511209047,0.5786802030456852,0.5533980582524272,0.6063829787234043,0.9927504585553324,0.5756431730349225,0.00526618459720604,0.7378640776699029
Hek293t_K562,0.9862872302865,0.6443856237456048,0.5689655172413793,0.5196850393700787,0.6285714285714286,0.9933932346723044,0.5682669970201577,0.0046787879434018464,0.7401574803149606
K562,0.9924811174811174,0.4668708812753584,0.375,0.25,0.75,0.994575535665853,0.431126446073873,0.0047693856126640915,0.75
SITE-Seq,0.9865005091565318,0.8090543589425425,0.7097989949748744,0.750332005312085,0.6734207389749702,0.9893907731875904,0.7054804120627175,0.006595160494159136,0.7835325365205843
